SarbMEGA	SbayMEGA	ScerMEGA	SkudMEGA	SmikMEGA	SparMEGA
chrXV_-_337206-337093_1	Sbay8_-_132057-131944_2	chrXV_-_370621-370427_2	Skud15_-_330465-330310_1	Smik15_-_336761-336636_0	chrXV_-_366993-366736_1
chrXIII_+_1059250-1059423_1	Sbay2_+_1083474-1083575_0	chrIV_+_1330722-1330862_0	Skud4_+_1251019-1251225_1	Smik4_+_1251421-1251603_1	chrIV_+_1319848-1320189_1
chrII_-_433365-433246_1	Sbay4_-_623897-623748_1	chrII_-_454721-454614_0	Skud2_-_422922-422782_1	Smik2_-_439660-439547_1	chrII_-_445704-445561_0
chrXIII_+_615629-615805_2	Sbay2_+_639276-639446_0	chrIV_+_848368-848484_1	Skud4_+_814805-814972_2	Smik4_+_803972-804088_2	chrIV_+_842730-842846_0
chrIV_+_158307-158381_0	Sbay4_+_117482-117556_2	chrIV_+_130337-130447_2	Skud4_+_126458-126532_2	Smik4_+_107262-107405_0	chrIV_+_138425-138547_2
chrVIII_-_44307-44179_1	Sbay8_-_34743-34651_2	chrVIII_-_33147-33067_0	Skud8_-_21176-21060_2	Smik8_-_16827-16735_1	chrVIII_-_22555-22457_0
chrXIII_+_814052-814135_2	Sbay2_+_836512-836637_1	chrIV_+_1071715-1071846_1	Skud4_+_1014129-1014284_0	Smik4_+_1003270-1003416_1	chrIV_+_1125831-1125956_0
chrIX_+_49484-49567_2	Sbay9_+_64236-64319_0	chrIX_+_69524-69607_2	Skud9_+_46622-46705_2	Smik9_+_47218-47319_1	chrIX_+_48246-48329_0
chrXIV_-_427450-427316_0	Sbay14_-_435278-435198_1	chrXIV_-_438403-438320_1	Skud14_-_428554-428474_1	Smik14_-_418160-417987_2	chrXIV_-_432376-432290_2
chrIX_+_69005-69121_2	Sbay9_+_83769-83894_0	chrIX_+_89034-89147_0	Skud9_+_66157-66258_1	Smik9_+_66709-66822_1	chrIX_+_67789-67902_1
chrX_+_680625-680819_0	Sbay12_+_381525-381587_0	chrX_+_701898-702023_0	Skud10_+_660385-660462_1	Smik10_+_690953-691066_2	chrX_+_698630-698857_2
chrXIV_+_517500-517616_0	Sbay14_+_524788-524904_1	chrXIV_+_532134-532250_0	Skud14_+_516176-516292_2	Smik14_+_506218-506334_1	chrXIV_+_519968-520084_2
chrII_-_154736-154617_2	Sbay2_-_164382-164263_2	chrII_-_164318-164199_0	Skud2_-_148134-148015_1	Smik2_-_158073-157954_2	chrII_-_159426-159307_0
chrXVI_-_762343-761996_0	Sbay16_-_797344-797189_2	chrXVI_-_795071-794865_2	Skud16_-_754661-754491_2	Smik16_-_672372-672145_1	chrXVI_-_828455-828210_0
chrXV_-_742084-741911_0	Sbay8_-_536705-536583_0	chrXV_-_797597-797520_1	Skud15_-_736576-736442_0	Smik15_-_747388-747245_1	chrXV_-_765334-765215_0
chrX_-_681947-681861_2	Sbay12_-_382810-382622_0	chrX_-_703139-703032_1	Skud10_-_661154-660939_0	Smik10_-_692222-692076_1	chrX_-_700427-700290_1
chrIV_-_849254-849108_2	Sbay13_-_612525-612343_1	chrXIII_-_632388-632140_0	Skud13_-_606359-606249_0	Smik13_-_616655-616527_0	chrXIII_-_620221-619994_0
chrVIII_-_241384-241292_0	Sbay15_-_440827-440711_0	chrVIII_-_238947-238834_0	Skud8_-_212457-212392_1	Smik8_-_215275-215207_0	chrVIII_-_228944-228849_2
chrX_+_503636-503845_2	Sbay12_+_202432-202680_1	chrX_+_525922-526116_1	Skud10_+_483389-483457_2	Smik10_+_514556-514729_2	chrX_+_519141-519332_0
chrXIV_-_485190-485068_1	Sbay14_-_492756-492673_0	chrXIV_-_493946-493851_0	Skud14_-_484149-484066_2	Smik14_-_474302-474219_2	chrXIV_-_487900-487817_2
chrV_-_416684-416454_1	Sbay5_-_417278-417009_1	chrV_-_442058-441906_0	Skud5_-_438432-438274_0	Smik5_-_453389-453276_1	chrV_-_455983-455780_0
chrVII_+_86215-86277_1	Sbay7_+_82624-82686_1	chrVII_+_87621-87743_0	Skud7_+_92832-92894_0	Smik7_+_82313-82375_2	chrVII_+_87444-87536_0
chrXVI_-_81541-81470_0	Sbay16_-_110420-110349_1	chrXVI_-_101435-101364_2	Skud16_-_74974-74903_0	Smik6_+_722889-722960_0	chrXVI_-_132448-132377_1
chrVII_-_472412-472311_1	Sbay7_-_470829-470749_0	chrVII_-_479551-479450_2	Skud7_-_482673-482572_2	Smik7_-_471622-471449_2	chrVII_-_479299-479198_0
chrXI_-_158452-158108_0	Sbay11_-_157760-157293_1	chrXI_-_171459-171331_1	Skud11_-_157748-157458_1	Smik11_-_157433-157263_2	chrXI_-_180574-180365_0
chrVIII_+_45032-45274_2	Sbay8_+_35509-35739_1	chrVIII_+_33823-34152_1	Skud8_+_21531-22148_0	Smik8_+_17220-17825_0	chrVIII_+_22940-23569_2
chrXIV_+_666361-666606_1	Sbay14_+_668485-668649_1	chrXIV_+_687125-687385_2	Skud14_+_655311-655475_0	Smik14_+_645189-645347_0	chrXIV_+_673510-673764_1
chrXIV_-_331216-331085_0	Sbay14_-_338625-338434_0	chrXIV_-_342148-342005_1	Skud14_-_332738-332661_0	Smik14_-_321547-321464_0	chrXIV_-_334979-334896_1
chrV_-_208255-208001_2	Sbay5_-_206221-205877_2	chrV_-_229956-229657_2	Skud5_-_227767-227513_2	Smik5_-_234707-234456_1	chrV_-_229669-229301_0
chrVII_+_933481-933606_1	Sbay7_+_924997-925110_1	chrVII_+_970516-970644_1	Skud7_+_945274-945417_1	Smik16_-_126252-126112_1	chrVII_+_942370-942525_1
chrXI_-_212875-212798_0	Sbay11_-_212557-212474_2	chrXI_-_226426-226349_0	Skud11_-_212902-212825_2	Smik11_-_213255-213178_1	chrXI_-_230735-230658_2
chrVII_-_330370-330257_2	Sbay7_-_327466-327329_2	chrVII_-_334815-334669_0	Skud7_-_337952-337842_0	Smik7_-_329166-328990_0	chrVII_-_334719-334480_1
chrII_-_80550-80485_1	Sbay2_-_87686-87513_0	chrII_-_90593-90528_0	Skud2_-_74231-74166_2	Smik2_-_84572-84507_0	chrII_-_85467-85402_0
chrXV_+_668889-669005_0	Sbay8_+_464156-464428_2	chrXV_+_725208-725351_0	Skud15_+_664247-664423_2	Smik15_+_674929-675099_1	chrXV_+_692501-692617_2
chrIV_-_878965-878867_0	Sbay13_-_642393-642172_1	chrXIII_-_661891-661790_2	Skud13_-_635840-635601_0	Smik13_-_646058-645849_0	chrXIII_-_650131-650006_0
chrVII_+_933419-933553_2	Sbay7_+_924941-925090_2	chrVII_+_970529-970603_2	Skud7_+_945317-945376_2	Smik16_-_126266-126153_2	chrVII_+_942347-942484_2
chrVIII_+_385747-385824_1	Sbay15_+_585192-585287_0	chrVIII_+_381870-381965_0	Skud8_+_355321-355398_1	Smik8_+_358665-358763_0	chrVIII_+_374419-374526_1
chrXIII_-_95635-95330_0	Sbay13_-_102711-102571_1	chrXIII_-_101335-101174_2	Skud13_-_100737-100459_2	Smik13_-_99078-98863_2	chrXIII_-_101984-101688_2
chrIV_-_668265-668008_1	Sbay2_-_448681-448463_1	chrIV_-_654518-654300_0	Skud4_-_626113-626000_2	Smik4_-_615320-615261_2	chrIV_-_654040-653963_0
chrVII_-_446907-446833_0	Sbay7_-_445602-445507_0	chrVII_-_454730-454653_1	Skud7_-_457890-457798_2	Smik7_-_446722-446648_2	chrVII_-_454578-454504_1
chrXIV_-_406424-406326_2	Sbay14_-_414368-414270_1	chrXIV_-_417546-417376_2	Skud14_-_407724-407542_2	Smik14_-_397191-397060_1	chrXIV_-_411561-411295_0
chrIX_-_82905-82717_1	Sbay9_-_97618-97346_2	chrIX_-_102879-102574_2	Skud9_-_80077-79880_0	Smik9_-_80607-80401_2	chrIX_-_81652-81470_0
chrXII_-_399887-399774_1	Sbay10_-_425612-425418_0	chrXII_-_417012-416854_2	Skud12_-_400844-400563_1	Smik12_-_398254-398090_2	chrXII_-_405534-405376_0
chrXIII_+_211837-212001_1	Sbay13_+_218890-219018_1	chrXIII_+_228609-228740_0	Skud13_+_214957-215175_1	Smik13_+_217409-217606_2	chrXIII_+_217734-217886_0
chrXVI_-_394404-394282_1	Sbay16_-_422616-422461_0	chrXVI_-_412163-411987_2	Skud16_-_383526-383428_1	Smik16_-_295300-295139_0	chrXVI_-_445346-445218_0
chrVII_-_509555-509439_1	Sbay7_-_508580-508479_1	chrVII_-_516681-516544_0	Skud7_-_520153-520052_1	Smik7_-_508353-508276_0	chrVII_-_516350-516249_2
chrXII_+_216841-217095_1	Sbay10_+_235629-235733_0	chrXII_+_234136-234291_1	Skud12_+_218988-219140_0	Smik12_+_215180-215332_2	chrXII_+_220694-220852_2
chrIV_-_200610-200509_1	Sbay4_-_160016-159807_1	chrIV_-_172206-172120_2	Skud4_-_167824-167696_2	Smik4_-_148970-148899_2	chrIV_-_180573-180493_1
chrXI_+_158164-158241_1	Sbay11_+_157367-157540_2	chrXI_+_171387-171479_0	Skud11_+_157508-157591_2	Smik11_+_157319-157402_2	chrXI_+_180421-180504_1
chrII_+_187247-187414_2	Sbay2_+_191231-191404_2	chrII_+_196677-196889_0	Skud2_+_180479-180640_2	Smik2_+_190024-190185_1	chrII_+_192082-192288_1
